user_id,item_id,weight,era
Atlanta Hawks_1999,blaylmo01_1999,41.98809355043403,1999-2007
Atlanta Hawks_1999,corbity01_1999,32.64965543462902,1999-2007
Atlanta Hawks_1999,crawfch01_1999,28.0,1999-2007
Atlanta Hawks_1999,grayed01_1999,18.35755975068582,1999-2007
Atlanta Hawks_1999,hendeal01_1999,33.793490497431605,1999-2007
Atlanta Hawks_1999,johnsan02_1999,29.748949561287034,1999-2007
Atlanta Hawks_1999,longgr01_1999,37.14835124201342,1999-2007
Atlanta Hawks_1999,mcleoro01_1999,18.65475810617763,1999-2007
Atlanta Hawks_1999,mutomdi01_1999,42.76680956068619,1999-2007
Atlanta Hawks_1999,smithst01_1999,36.24913792078372,1999-2007
Atlanta Hawks_1999,westma01_1999,22.338307903688676,1999-2007
Atlanta Hawks_2000,bowdlca01_2000,20.566963801203133,1999-2007
Atlanta Hawks_2000,colesbi01_2000,43.86342439892262,1999-2007
Atlanta Hawks_2000,crawfch01_2000,25.84569596664017,1999-2007
Atlanta Hawks_2000,ellisla01_2000,36.180105030251084,1999-2007
Atlanta Hawks_2000,glovedi01_2000,21.118712081942874,1999-2007
Atlanta Hawks_2000,hendeal01_2000,52.67826876426369,1999-2007
Atlanta Hawks_2000,jacksji01_2000,52.602281319349636,1999-2007
Atlanta Hawks_2000,johnsan02_2000,20.566963801203133,1999-2007
Atlanta Hawks_2000,mcleoro01_2000,29.32575659723036,1999-2007
Atlanta Hawks_2000,mutomdi01_2000,54.62600113499065,1999-2007
Atlanta Hawks_2000,rideris01_2000,45.65084884205331,1999-2007
Atlanta Hawks_2000,terryja01_2000,43.45112196480086,1999-2007
Atlanta Hawks_2000,wrighlo02_2000,34.713109915419565,1999-2007
Atlanta Hawks_2001,bowdlca01_2001,19.364916731037084,1999-2007
Atlanta Hawks_2001,crawfch01_2001,30.01666203960727,1999-2007
Atlanta Hawks_2001,glovedi01_2001,30.479501308256342,1999-2007
Atlanta Hawks_2001,hendeal01_2001,42.5440947723653,1999-2007
Atlanta Hawks_2001,johnsan02_2001,16.703293088490067,1999-2007
Atlanta Hawks_2001,johnsde03_2001,36.235341863986875,1999-2007
Atlanta Hawks_2001,knighbr01_2001,36.932370625238775,1999-2007
Atlanta Hawks_2001,malonma01_2001,37.456641600656084,1999-2007
Atlanta Hawks_2001,mcleoro01_2001,30.116440692751194,1999-2007
Atlanta Hawks_2001,mohamna01_2001,26.758176320519304,1999-2007
Atlanta Hawks_2001,mottoha01_2001,31.448370387032774,1999-2007
Atlanta Hawks_2001,mutomdi01_2001,41.42463035441596,1999-2007
Atlanta Hawks_2001,robinla01_2001,25.11971337416094,1999-2007
Atlanta Hawks_2001,terryja01_2001,55.57877292636101,1999-2007
Atlanta Hawks_2001,wrighlo02_2001,44.58699361921591,1999-2007
Atlanta Hawks_2002,abdursh01_2002,54.589376255824725,1999-2007
Atlanta Hawks_2002,bowdlca01_2002,24.186773244895647,1999-2007
Atlanta Hawks_2002,davisem01_2002,27.820855486487112,1999-2007
Atlanta Hawks_2002,glovedi01_2002,34.0,1999-2007
Atlanta Hawks_2002,hendeal01_2002,20.54263858417414,1999-2007
Atlanta Hawks_2002,johnsde03_2002,41.557189510360296,1999-2007
