team,season,player_id,mp,team_full,user_id,item_id,era
ATL,2002,terryja01,2967.0,Atlanta Hawks,Atlanta Hawks_2002,terryja01_2002,1999-2007
ATL,2002,vaughja01,1856.0,Atlanta Hawks,Atlanta Hawks_2002,vaughja01_2002,1999-2007
ATL,2003,abdursh01,3087.0,Atlanta Hawks,Atlanta Hawks_2003,abdursh01_2003,1999-2007
ATL,2003,davisem01,340.0,Atlanta Hawks,Atlanta Hawks_2003,davisem01_2003,1999-2007
ATL,2003,dickada01,515.0,Atlanta Hawks,Atlanta Hawks_2003,dickada01_2003,1999-2007
ATL,2003,glovedi01,1890.0,Atlanta Hawks,Atlanta Hawks_2003,glovedi01_2003,1999-2007
ATL,2003,hamda01,926.0,Atlanta Hawks,Atlanta Hawks_2003,hamda01_2003,1999-2007
ATL,2003,hendeal01,1494.0,Atlanta Hawks,Atlanta Hawks_2003,hendeal01_2003,1999-2007
ATL,2003,jacksje01,273.0,Atlanta Hawks,Atlanta Hawks_2003,jacksje01_2003,1999-2007
ATL,2003,mohamna01,445.0,Atlanta Hawks,Atlanta Hawks_2003,mohamna01_2003,1999-2007
ATL,2003,newblir01,1931.0,Atlanta Hawks,Atlanta Hawks_2003,newblir01_2003,1999-2007
ATL,2003,ratlith01,2518.0,Atlanta Hawks,Atlanta Hawks_2003,ratlith01_2003,1999-2007
ATL,2003,robingl01,2591.0,Atlanta Hawks,Atlanta Hawks_2003,robingl01_2003,1999-2007
ATL,2003,terryja01,3081.0,Atlanta Hawks,Atlanta Hawks_2003,terryja01_2003,1999-2007
ATL,2004,abdursh01,1956.0,Atlanta Hawks,Atlanta Hawks_2004,abdursh01_2004,1999-2007
ATL,2004,crawfch01,1207.0,Atlanta Hawks,Atlanta Hawks_2004,crawfch01_2004,1999-2007
ATL,2004,diawbo01,1919.0,Atlanta Hawks,Atlanta Hawks_2004,diawbo01_2004,1999-2007
ATL,2004,dickada01,143.0,Atlanta Hawks,Atlanta Hawks_2004,dickada01_2004,1999-2007
ATL,2004,glovedi01,1465.0,Atlanta Hawks,Atlanta Hawks_2004,glovedi01_2004,1999-2007
ATL,2004,hansetr01,507.0,Atlanta Hawks,Atlanta Hawks_2004,hansetr01_2004,1999-2007
ATL,2004,jacksst02,2940.0,Atlanta Hawks,Atlanta Hawks_2004,jacksst02_2004,1999-2007
ATL,2004,mohamna01,938.0,Atlanta Hawks,Atlanta Hawks_2004,mohamna01_2004,1999-2007
ATL,2004,nailole01,300.0,Atlanta Hawks,Atlanta Hawks_2004,nailole01_2004,1999-2007
ATL,2004,ndiayma02,359.0,Atlanta Hawks,Atlanta Hawks_2004,ndiayma02_2004,1999-2007
ATL,2004,ratlith01,1648.0,Atlanta Hawks,Atlanta Hawks_2004,ratlith01_2004,1999-2007
ATL,2004,surabo01,956.0,Atlanta Hawks,Atlanta Hawks_2004,surabo01_2004,1999-2007
ATL,2004,terryja01,3018.0,Atlanta Hawks,Atlanta Hawks_2004,terryja01_2004,1999-2007
ATL,2004,vaughja01,1271.0,Atlanta Hawks,Atlanta Hawks_2004,vaughja01_2004,1999-2007
ATL,2005,anderke01,717.0,Atlanta Hawks,Atlanta Hawks_2005,anderke01_2005,1999-2007
ATL,2005,childjo01,2376.0,Atlanta Hawks,Atlanta Hawks_2005,childjo01_2005,1999-2007
ATL,2005,collija02,942.0,Atlanta Hawks,Atlanta Hawks_2005,collija02_2005,1999-2007
ATL,2005,delkto01,1340.0,Atlanta Hawks,Atlanta Hawks_2005,delkto01_2005,1999-2007
