,season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,e_fg_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg
20,2022,NBA,Precious Achiuwa,achiupr01,22,TOR,C,73,28.0,1725,7.7,17.5,0.439,1.6,4.5,0.359,6.1,13.0,0.468,0.486,2.3,3.8,0.595,4.2,9.5,13.7,2.4,1.1,1.2,2.4,4.4,19.2,105.0,110.0
21,2023,NBA,Precious Achiuwa,achiupr01,23,TOR,C,55,12.0,1140,8.5,17.5,0.485,1.3,4.7,0.269,7.2,12.8,0.564,0.521,3.8,5.4,0.702,4.3,9.9,14.2,2.2,1.3,1.3,2.6,4.4,22.0,112.0,113.0
22,2024,NBA,Precious Achiuwa,achiupr01,24,2TM,PF,74,18.0,1624,7.2,14.4,0.501,0.8,3.0,0.268,6.4,11.4,0.562,0.529,2.1,3.4,0.616,5.9,9.1,14.9,3.0,1.4,2.1,2.5,4.4,17.3,114.0,112.0
23,2025,NBA,Precious Achiuwa,achiupr01,25,NYK,C,57,10.0,1170,7.0,13.9,0.502,0.4,1.5,0.278,6.5,12.3,0.529,0.517,1.7,2.9,0.594,4.3,9.2,13.4,2.3,2.0,1.8,1.9,3.4,16.1,112.0,111.0
24,2006,NBA,Alex Acker,ackeral01,23,DET,SG,5,0.0,35,6.3,25.3,0.25,1.6,7.9,0.2,4.7,17.4,0.273,0.281,0.0,0.0,,1.6,6.3,7.9,6.3,1.6,0.0,6.3,6.3,14.2,61.0,105.0
25,2009,NBA,Alex Acker,ackeral01,26,2TM,SG,25,0.0,199,7.9,20.0,0.395,1.8,5.3,0.35,6.1,14.8,0.411,0.441,1.3,2.6,0.5,2.1,4.2,6.3,3.2,1.3,1.1,1.8,2.4,19.0,94.0,114.0
26,2013,NBA,Quincy Acy,acyqu01,22,TOR,PF,29,0.0,342,6.5,11.6,0.56,0.2,0.3,0.5,6.4,11.3,0.562,0.567,4.8,5.9,0.816,4.7,7.3,12.0,1.7,2.0,2.3,2.6,8.2,18.0,120.0,105.0
27,2014,NBA,Quincy Acy,acyqu01,23,2TM,SF,63,0.0,847,4.0,8.5,0.468,0.2,0.9,0.267,3.7,7.6,0.492,0.482,2.1,3.2,0.66,4.3,8.7,13.0,1.7,1.4,1.6,1.8,7.3,10.3,109.0,107.0
28,2015,NBA,Quincy Acy,acyqu01,24,NYK,PF,68,22.0,1287,6.2,13.5,0.459,0.7,2.5,0.3,5.5,11.1,0.494,0.486,3.1,4.0,0.784,3.2,9.1,12.3,2.8,1.1,0.9,2.5,6.0,16.3,105.0,109.0
29,2016,NBA,Quincy Acy,acyqu01,25,SAC,PF,59,29.0,876,6.5,11.7,0.556,1.0,2.7,0.388,5.5,9.0,0.606,0.6,2.7,3.7,0.735,3.6,6.7,10.3,1.5,1.6,1.3,1.5,5.6,16.8,124.0,108.0
30,2017,NBA,Quincy Acy,acyqu01,26,2TM,PF,38,1.0,558,6.0,14.6,0.412,3.2,7.7,0.411,2.8,6.8,0.413,0.521,3.9,5.1,0.75,1.7,8.1,9.8,1.5,1.2,1.3,1.8,5.7,19.0,109.0,110.0
31,2018,NBA,Quincy Acy,acyqu01,27,BRK,PF,70,8.0,1359,4.6,13.0,0.356,3.6,10.4,0.349,1.0,2.6,0.384,0.496,1.8,2.1,0.817,1.4,7.8,9.2,2.0,1.2,1.0,2.1,5.3,14.7,99.0,110.0
32,2019,NBA,Quincy Acy,acyqu01,28,PHO,PF,10,0.0,123,1.6,7.0,0.222,0.8,5.8,0.133,0.8,1.2,0.667,0.278,2.7,3.9,0.7,1.2,8.5,9.7,3.1,0.4,1.6,1.6,9.3,6.6,87.0,116.0
33,2007,NBA,Hassan Adams,adamsha01,22,NJN,SG,61,8.0,495,8.0,14.3,0.556,0.0,0.1,0.0,8.0,14.2,0.56,0.556,2.5,3.8,0.667,3.7,4.5,8.2,1.4,1.8,0.4,2.3,5.0,18.5,109.0,107.0
34,2009,NBA,Hassan Adams,adamsha01,24,TOR,SG,12,0.0,52,4.0,13.0,0.308,0.0,0.0,,4.0,13.0,0.308,0.308,3.0,6.0,0.5,1.0,6.0,7.0,1.0,1.0,1.0,4.0,4.0,11.0,63.0,111.0
35,2019,NBA,Jaylen Adams,adamsja01,22,ATL,PG,34,1.0,428,4.1,11.9,0.345,2.7,8.0,0.338,1.4,3.9,0.361,0.459,0.8,1.0,0.778,1.2,5.3,6.5,7.0,1.5,0.5,3.0,4.9,11.7,99.0,115.0
36,2021,NBA,Jaylen Adams,adamsja01,24,MIL,PG,7,0.0,18,2.6,20.9,0.125,0.0,5.2,0.0,2.6,15.7,0.167,0.125,0.0,0.0,,0.0,7.8,7.8,5.2,0.0,0.0,0.0,2.6,5.2,45.0,116.0
37,2015,NBA,Jordan Adams,adamsjo01,20,MEM,SG,30,0.0,248,7.4,18.1,0.407,2.1,5.3,0.4,5.3,12.8,0.41,0.465,2.9,4.8,0.609,1.9,4.0,5.9,3.4,3.4,1.5,2.9,5.1,19.8,96.0,100.0
38,2016,NBA,Jordan Adams,adamsjo01,21,MEM,SG,2,0.0,15,6.9,20.6,0.333,0.0,3.4,0.0,6.9,17.2,0.4,0.333,10.3,17.2,0.6,0.0,6.9,6.9,10.3,10.3,0.0,6.9,6.9,24.0,84.0,90.0
39,2014,NBA,Steven Adams,adamsst01,20,OKC,C,81,20.0,1197,3.9,7.8,0.503,0.0,0.0,,3.9,7.8,0.503,0.503,3.3,5.7,0.581,6.0,8.0,13.9,1.8,1.7,2.4,3.0,8.5,11.1,108.0,102.0
40,2015,NBA,Steven Adams,adamsst01,21,OKC,C,70,67.0,1771,6.1,11.3,0.544,0.0,0.1,0.0,6.1,11.2,0.547,0.544,2.9,5.8,0.502,5.6,9.2,14.8,1.9,1.1,2.4,2.8,6.3,15.2,108.0,104.0
