,season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,e_fg_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg
998,2020,NBA,Marco Belinelli,belinma01,33,SAS,SG,57,0.0,883,6.7,17.0,0.392,3.6,9.6,0.376,3.0,7.4,0.412,0.498,2.6,3.1,0.828,0.4,5.0,5.4,3.7,0.6,0.1,1.0,2.4,19.5,110.0,118.0
999,2002,NBA,Charlie Bell,bellch01,22,2TM,SG,7,0.0,44,3.6,13.1,0.273,0.0,7.2,0.0,3.6,6.0,0.6,0.273,2.4,2.4,1.0,2.4,3.6,6.0,2.4,0.0,0.0,6.0,3.6,9.5,61.0,111.0
1000,2006,NBA,Charlie Bell,bellch01,26,MIL,SG,59,6.0,1283,7.4,16.8,0.439,2.9,6.9,0.423,4.5,9.9,0.45,0.526,2.6,3.6,0.708,0.9,4.1,4.9,5.3,2.4,0.2,1.7,5.2,20.3,114.0,108.0
1001,2007,NBA,Charlie Bell,bellch01,27,MIL,SG,82,64.0,2848,7.8,17.8,0.437,2.3,6.6,0.352,5.5,11.2,0.488,0.503,2.4,3.1,0.78,1.0,3.3,4.3,4.5,1.8,0.1,1.9,3.9,20.3,110.0,114.0
1002,2008,NBA,Charlie Bell,bellch01,28,MIL,SG,68,5.0,1628,6.0,15.7,0.381,2.4,7.0,0.341,3.6,8.7,0.413,0.457,2.3,2.8,0.805,1.0,4.4,5.4,6.8,1.7,0.1,2.5,3.9,16.6,105.0,115.0
1003,2009,NBA,Charlie Bell,bellch01,29,MIL,SG,70,23.0,1783,6.3,15.2,0.414,2.5,7.0,0.363,3.8,8.3,0.458,0.497,1.9,2.3,0.825,0.9,3.0,3.9,4.4,1.5,0.2,2.2,4.0,17.1,105.0,111.0
1004,2010,NBA,Charlie Bell,bellch01,30,MIL,SG,71,39.0,1611,5.5,14.4,0.381,2.4,6.5,0.365,3.1,7.9,0.395,0.464,1.6,2.2,0.716,1.0,3.3,4.3,3.4,1.3,0.4,1.8,4.4,14.9,100.0,106.0
1005,2011,NBA,Charlie Bell,bellch01,31,GSW,SG,19,0.0,171,3.6,12.7,0.279,1.8,6.2,0.286,1.8,6.5,0.273,0.349,0.6,1.2,0.5,1.8,3.6,5.3,3.8,1.8,0.3,1.8,3.8,9.5,85.0,114.0
1006,2018,NBA,Jordan Bell,belljo01,23,GSW,C,57,13.0,809,6.9,11.0,0.627,0.0,0.2,0.0,6.9,10.8,0.641,0.627,1.8,2.6,0.682,3.6,8.8,12.3,6.1,2.1,3.3,3.0,5.5,15.6,121.0,103.0
1007,2019,NBA,Jordan Bell,belljo01,24,GSW,C,68,3.0,788,6.0,11.6,0.516,0.0,0.1,0.0,6.0,11.5,0.521,0.516,1.5,2.5,0.61,3.3,7.8,11.1,4.6,1.2,3.1,2.5,4.8,13.5,109.0,108.0
1008,2020,NBA,Jordan Bell,belljo01,25,2TM,C,29,0.0,256,6.4,12.2,0.522,0.7,2.2,0.333,5.6,10.0,0.564,0.552,3.4,5.6,0.613,5.4,9.3,14.7,2.9,0.5,1.8,3.8,3.4,16.9,108.0,112.0
1009,2021,NBA,Jordan Bell,belljo01,26,2TM,C,6,1.0,82,3.9,12.4,0.318,0.0,1.1,0.0,3.9,11.3,0.35,0.318,0.6,1.1,0.5,3.9,9.6,13.5,3.9,1.7,2.8,2.3,3.9,8.5,83.0,108.0
1010,2022,NBA,Jordan Bell,belljo01,27,CHI,C,1,0.0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,24.4,0.0,24.4,0.0,24.4,0.0,0.0,48.8,0.0,223.0,65.0
1011,2001,NBA,Raja Bell,bellra01,24,PHI,SG,5,0.0,30,3.5,12.4,0.286,1.8,5.3,0.333,1.8,7.1,0.25,0.357,0.0,0.0,,0.0,1.8,1.8,0.0,1.8,0.0,3.5,1.8,8.8,59.0,104.0
1012,2002,NBA,Raja Bell,bellra01,25,PHI,SG,74,12.0,890,6.2,14.6,0.429,0.7,2.7,0.273,5.5,11.9,0.464,0.454,2.2,2.9,0.75,1.9,4.9,6.7,4.3,1.3,0.2,2.9,6.6,15.4,97.0,104.0
1013,2003,NBA,Raja Bell,bellra01,26,DAL,SG,75,32.0,1173,4.1,9.3,0.441,0.9,2.3,0.412,3.2,7.1,0.45,0.491,1.0,1.5,0.676,2.1,4.3,6.4,2.5,2.3,0.4,1.9,5.9,10.2,101.0,104.0
1014,2004,NBA,Raja Bell,bellra01,27,UTA,SG,82,4.0,2020,9.0,22.1,0.409,1.7,4.6,0.373,7.3,17.5,0.418,0.447,5.4,6.8,0.786,1.6,5.0,6.6,2.9,1.7,0.4,3.0,7.2,25.1,103.0,105.0
1015,2005,NBA,Raja Bell,bellra01,28,UTA,SG,63,32.0,1790,9.2,20.2,0.454,1.6,4.1,0.403,7.6,16.2,0.467,0.495,3.4,4.6,0.747,1.5,4.6,6.1,2.8,1.3,0.2,2.4,6.2,23.4,105.0,112.0
1016,2006,NBA,Raja Bell,bellra01,29,PHO,SG,79,79.0,2959,7.2,15.7,0.457,3.3,7.5,0.442,3.9,8.2,0.471,0.563,1.9,2.5,0.788,0.7,3.5,4.3,3.5,1.3,0.4,1.5,4.2,19.7,114.0,109.0
1017,2007,NBA,Raja Bell,bellra01,30,PHO,SG,78,78.0,2917,7.1,16.3,0.432,3.5,8.5,0.413,3.5,7.8,0.452,0.539,2.0,2.6,0.776,0.8,3.5,4.3,3.4,0.9,0.4,1.4,4.0,19.7,113.0,110.0
1018,2008,NBA,Raja Bell,bellra01,31,PHO,SG,75,75.0,2646,5.9,14.1,0.421,3.3,8.2,0.401,2.6,5.9,0.449,0.538,1.5,1.7,0.868,0.9,4.3,5.1,3.2,1.0,0.5,1.2,4.1,16.7,113.0,111.0
1019,2009,NBA,Raja Bell,bellra01,32,2TM,SG,67,66.0,2315,6.8,15.6,0.437,2.6,6.2,0.421,4.2,9.4,0.448,0.52,2.0,2.3,0.853,0.9,4.6,5.6,3.2,1.1,0.2,2.0,3.8,18.3,109.0,111.0
1020,2010,NBA,Raja Bell,bellra01,33,2TM,SG,6,5.0,180,8.1,17.8,0.459,3.5,7.9,0.444,4.7,9.9,0.471,0.557,0.9,0.9,1.0,1.5,5.2,6.7,3.8,1.2,0.6,1.5,4.4,20.7,116.0,107.0
1021,2011,NBA,Raja Bell,bellra01,34,UTA,SG,68,63.0,2097,4.8,11.7,0.409,1.7,4.9,0.352,3.1,6.9,0.449,0.482,2.3,2.6,0.892,0.8,3.6,4.4,3.0,1.4,0.4,1.6,4.2,13.6,107.0,114.0
1022,2012,NBA,Raja Bell,bellra01,35,UTA,SG,34,33.0,796,5.3,11.5,0.466,2.2,5.7,0.391,3.1,5.7,0.54,0.563,1.4,1.6,0.84,0.4,2.8,3.2,2.5,0.9,0.1,1.4,5.1,14.3,115.0,112.0
1023,2004,NBA,Troy Bell,belltr01,23,MEM,PG,6,0.0,34,6.2,27.8,0.222,0.0,6.2,0.0,6.2,21.6,0.286,0.222,4.6,4.6,1.0,4.6,1.5,6.2,6.2,1.5,0.0,9.3,9.3,17.0,61.0,108.0
1024,2017,NBA,DeAndre' Bembry,bembrde01,22,ATL,SF,38,1.0,371,6.2,13.0,0.48,0.1,2.4,0.056,6.1,10.6,0.575,0.485,0.8,2.1,0.375,1.9,6.0,7.8,3.7,1.1,0.7,2.1,2.8,13.4,97.0,108.0
1025,2018,NBA,DeAndre' Bembry,bembrde01,23,ATL,SF,26,3.0,455,5.7,13.7,0.414,1.2,3.2,0.367,4.5,10.5,0.429,0.457,2.0,3.5,0.576,0.9,6.9,7.7,5.3,2.3,1.3,5.0,4.1,14.6,83.0,109.0
1026,2019,NBA,DeAndre' Bembry,bembrde01,24,ATL,SG,82,15.0,1931,6.6,14.7,0.446,1.2,4.1,0.289,5.4,10.6,0.508,0.487,2.1,3.3,0.64,1.3,7.3,8.6,4.8,2.5,1.0,3.4,4.5,16.4,97.0,112.0
1027,2020,NBA,DeAndre' Bembry,bembrde01,25,ATL,SG,43,4.0,915,5.3,11.6,0.456,0.8,3.3,0.231,4.5,8.3,0.546,0.489,1.3,2.4,0.542,1.7,6.0,7.7,4.1,2.8,1.0,3.1,4.3,12.7,95.0,112.0
1028,2021,NBA,DeAndre' Bembry,bembrde01,26,TOR,SF,51,12.0,972,5.8,11.4,0.513,0.7,2.6,0.264,5.1,8.7,0.589,0.544,2.2,3.3,0.682,1.6,5.6,7.3,5.3,2.6,0.9,3.5,4.3,14.6,104.0,111.0
1029,2022,NBA,DeAndre' Bembry,bembrde01,27,2TM,SF,56,20.0,1026,5.9,10.4,0.561,0.7,1.7,0.417,5.1,8.7,0.589,0.595,1.0,1.7,0.6,2.0,5.7,7.7,3.1,2.3,1.2,1.5,5.3,13.4,119.0,112.0
1030,2017,NBA,Dragan Bender,bendedr01,19,PHO,PF,43,0.0,574,4.8,13.4,0.354,2.3,8.4,0.277,2.4,5.0,0.483,0.441,0.3,0.9,0.364,1.9,6.7,8.6,1.9,0.8,1.8,2.7,6.2,12.2,86.0,113.0
1031,2018,NBA,Dragan Bender,bendedr01,20,PHO,PF,82,37.0,2069,4.3,11.2,0.386,2.7,7.5,0.366,1.6,3.7,0.426,0.508,0.9,1.2,0.765,0.9,7.4,8.4,3.0,0.5,1.2,2.6,3.8,12.3,95.0,114.0
1032,2019,NBA,Dragan Bender,bendedr01,21,PHO,PF,46,27.0,826,5.1,11.4,0.447,1.3,5.8,0.218,3.8,5.5,0.688,0.503,1.8,3.1,0.593,2.0,8.6,10.6,3.2,1.0,1.3,2.1,5.2,13.3,102.0,115.0
1033,2020,NBA,Dragan Bender,bendedr01,22,2TM,PF,16,3.0,286,6.8,15.2,0.446,2.5,7.1,0.349,4.3,8.1,0.531,0.527,1.6,2.3,0.714,2.6,9.4,12.0,4.6,0.7,1.5,3.5,6.9,17.6,102.0,110.0
1034,2000,NBA,Jonathan Bender,bendejo01,19,IND,SF,24,1.0,130,9.1,27.8,0.329,0.8,4.8,0.167,8.3,23.0,0.362,0.343,6.3,9.5,0.667,1.6,6.7,8.3,1.2,0.4,2.0,2.8,7.1,25.4,82.0,105.0
1035,2001,NBA,Jonathan Bender,bendejo01,20,IND,SF,59,7.0,574,6.2,17.4,0.355,1.0,3.8,0.268,5.1,13.6,0.379,0.384,4.7,6.4,0.735,1.3,5.6,6.9,3.0,0.7,2.6,3.9,6.8,18.1,85.0,104.0
1036,2002,NBA,Jonathan Bender,bendejo01,21,IND,SF,78,17.0,1647,6.3,14.6,0.43,1.4,4.0,0.36,4.9,10.6,0.457,0.479,4.4,5.7,0.773,2.0,5.7,7.7,2.0,0.6,1.6,3.0,4.7,18.4,101.0,107.0
1037,2003,NBA,Jonathan Bender,bendejo01,22,IND,SF,46,2.0,819,7.2,16.3,0.441,1.2,3.4,0.358,6.0,12.9,0.463,0.478,3.8,5.4,0.714,2.7,5.8,8.5,2.7,0.5,3.6,2.7,5.5,19.4,103.0,102.0
1038,2004,NBA,Jonathan Bender,bendejo01,23,IND,SF,21,0.0,271,10.1,21.5,0.472,1.8,4.5,0.409,8.3,17.0,0.488,0.514,7.9,9.5,0.83,1.8,6.3,8.1,1.8,1.0,2.2,6.7,4.7,30.0,96.0,99.0
1039,2005,NBA,Jonathan Bender,bendejo01,24,IND,SF,7,0.0,93,9.5,23.7,0.4,0.6,3.0,0.2,8.9,20.7,0.429,0.413,1.8,3.6,0.5,3.0,5.3,8.3,2.4,0.6,1.2,5.9,5.3,21.3,77.0,108.0
1040,2006,NBA,Jonathan Bender,bendejo01,25,IND,SF,2,0.0,21,10.2,12.7,0.8,0.0,0.0,,10.2,12.7,0.8,0.8,5.1,5.1,1.0,0.0,10.2,10.2,5.1,0.0,2.5,0.0,5.1,25.5,180.0,102.0
1041,2010,NBA,Jonathan Bender,bendejo01,29,NYK,SF,25,1.0,292,7.0,17.5,0.4,2.4,6.8,0.359,4.5,10.7,0.426,0.47,4.2,4.5,0.923,2.6,6.5,9.1,2.8,0.3,3.0,4.9,5.8,20.6,94.0,112.0
1042,2015,NBA,Jerrelle Benimon,benimje01,23,UTA,PF,2,0.0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,17.7,35.4,53.1,0.0,0.0,0.0,17.7,0.0,0.0,46.0,93.0
1043,1999,NBA,Benoit Benjamin,benjabe01,34,PHI,C,6,0.0,33,3.3,11.5,0.286,0.0,0.0,,3.3,11.5,0.286,0.286,0.0,0.0,,4.9,8.2,13.1,1.6,0.0,0.0,4.9,9.8,6.6,60.0,102.0
1044,2000,NBA,Benoit Benjamin,benjabe01,35,CLE,C,3,0.0,8,6.3,18.8,0.333,0.0,0.0,,6.3,18.8,0.333,0.333,0.0,0.0,,0.0,6.3,6.3,0.0,0.0,6.3,0.0,6.3,12.5,73.0,103.0
1045,1999,NBA,Corey Benjamin,benjaco01,20,CHI,PG,31,1.0,320,7.5,19.9,0.376,0.5,2.4,0.214,7.0,17.5,0.398,0.389,4.6,6.8,0.675,2.6,4.3,6.8,1.7,1.9,1.4,3.6,7.8,20.1,85.0,104.0
1046,2000,NBA,Corey Benjamin,benjaco01,21,CHI,SG,48,10.0,862,9.0,21.8,0.414,1.9,5.5,0.348,7.1,16.2,0.437,0.459,3.1,5.1,0.598,1.3,4.2,5.5,3.4,1.9,1.4,4.6,7.6,23.0,88.0,105.0
1047,2001,NBA,Corey Benjamin,benjaco01,22,CHI,PG,65,5.0,857,7.2,18.9,0.381,1.3,5.1,0.259,5.9,13.9,0.425,0.416,3.5,5.2,0.675,2.4,3.9,6.3,4.3,1.8,1.0,4.0,8.0,19.3,88.0,109.0
1048,2003,NBA,Corey Benjamin,benjaco01,24,ATL,SG,9,0.0,152,4.5,14.9,0.302,0.7,4.5,0.154,3.8,10.4,0.367,0.326,4.2,5.6,0.75,3.5,7.3,10.8,3.5,0.3,0.7,2.1,6.9,13.9,93.0,109.0
1049,2014,NBA,Anthony Bennett,bennean01,20,CLE,PF,52,0.0,663,6.2,17.5,0.356,1.0,4.1,0.245,5.2,13.4,0.39,0.384,3.4,5.4,0.638,3.8,8.2,12.1,1.3,1.6,0.6,3.7,7.2,16.9,85.0,107.0
1050,2015,NBA,Anthony Bennett,bennean01,21,MIN,PF,57,3.0,894,7.1,16.9,0.421,0.4,1.3,0.304,6.7,15.6,0.431,0.433,2.3,3.6,0.641,3.0,9.3,12.3,2.7,1.5,0.9,2.0,4.9,16.9,96.0,111.0
1051,2016,NBA,Anthony Bennett,bennean01,22,TOR,PF,19,0.0,84,4.9,16.6,0.296,1.8,8.6,0.214,3.1,8.0,0.385,0.352,5.5,6.2,0.9,3.7,10.5,14.1,0.0,3.1,0.0,2.5,4.9,17.2,94.0,102.0
1052,2017,NBA,Anthony Bennett,bennean01,23,BRK,PF,23,1.0,264,6.8,16.5,0.413,2.3,8.6,0.271,4.5,7.9,0.568,0.484,4.7,6.5,0.722,4.5,9.5,14.0,2.2,0.9,0.5,2.2,3.2,20.7,110.0,111.0
1053,1999,NBA,Mario Bennett,bennema01,25,CHI,PF,3,0.0,19,5.7,17.2,0.333,0.0,0.0,,5.7,17.2,0.333,0.333,8.6,11.5,0.75,5.7,8.6,14.3,0.0,2.9,0.0,2.9,11.5,20.1,94.0,100.0
1054,2000,NBA,Mario Bennett,bennema01,26,LAC,PF,1,0.0,3,0.0,51.1,0.0,0.0,0.0,,0.0,51.1,0.0,0.0,0.0,0.0,,17.0,17.0,34.1,0.0,0.0,0.0,0.0,17.0,0.0,23.0,106.0
1055,2001,NBA,David Benoit,benoida01,32,UTA,SF,49,2.0,446,8.5,17.6,0.483,0.6,1.6,0.385,7.9,16.1,0.493,0.5,3.7,4.7,0.795,2.4,7.3,9.7,2.6,0.7,0.7,3.4,9.0,21.3,102.0,105.0
1056,2012,NBA,Keith Benson,bensoke02,23,GSW,C,3,0.0,9,0.0,5.8,0.0,0.0,0.0,,0.0,5.8,0.0,0.0,0.0,0.0,,11.6,5.8,17.3,0.0,0.0,0.0,0.0,0.0,0.0,98.0,115.0
1057,2017,NBA,Ben Bentil,bentibe01,21,DAL,PF,3,0.0,10,0.0,15.6,0.0,0.0,5.2,0.0,0.0,10.4,0.0,0.0,0.0,0.0,,0.0,10.4,10.4,0.0,0.0,0.0,5.2,5.2,0.0,0.0,111.0
1058,2024,NBA,Jules Bernard,bernaju01,24,WAS,SG,19,0.0,149,9.1,20.1,0.453,3.5,9.1,0.379,5.6,11.0,0.514,0.539,1.6,2.8,0.556,3.1,5.0,8.2,5.0,0.9,0.3,2.5,4.4,23.2,109.0,122.0
1059,2017,NBA,Dāvis Bertāns,bertada01,24,SAS,PF,67,6.0,808,6.5,14.8,0.44,4.4,10.9,0.399,2.1,3.8,0.557,0.588,1.8,2.1,0.824,1.4,4.8,6.2,2.9,1.3,1.8,2.0,4.7,19.1,115.0,105.0
1060,2018,NBA,Dāvis Bertāns,bertada01,25,SAS,PF,77,10.0,1086,7.5,17.0,0.44,4.4,11.7,0.373,3.1,5.3,0.588,0.568,1.9,2.3,0.816,0.8,6.3,7.1,3.4,1.2,1.3,1.7,4.3,21.2,115.0,106.0
1061,2019,NBA,Dāvis Bertāns,bertada01,26,SAS,PF,76,12.0,1632,6.1,13.6,0.45,4.3,10.1,0.429,1.8,3.4,0.513,0.61,1.6,1.8,0.883,0.7,7.2,7.9,3.0,1.0,1.0,1.3,4.0,18.1,122.0,112.0
1062,2020,NBA,Dāvis Bertāns,bertada01,27,WAS,PF,54,4.0,1583,7.8,18.0,0.434,5.9,13.9,0.424,1.9,4.1,0.471,0.598,3.1,3.6,0.852,1.0,6.2,7.2,2.7,1.1,1.0,1.7,4.1,24.6,120.0,116.0
1063,2021,NBA,Dāvis Bertāns,bertada01,28,WAS,PF,57,7.0,1464,6.1,15.1,0.404,5.3,13.5,0.395,0.8,1.6,0.48,0.581,3.1,3.6,0.87,0.6,4.7,5.3,1.5,1.0,0.4,1.0,4.3,20.6,120.0,116.0
1064,2022,NBA,Dāvis Bertāns,bertada01,29,2TM,PF,56,0.0,807,6.1,17.0,0.36,4.8,14.2,0.335,1.4,2.8,0.489,0.5,2.2,2.5,0.9,0.7,6.5,7.2,1.9,1.0,0.7,1.2,5.2,19.2,106.0,114.0
1065,2023,NBA,Dāvis Bertāns,bertada01,30,DAL,PF,45,1.0,492,7.0,16.2,0.431,5.6,14.2,0.39,1.4,1.9,0.737,0.603,1.3,1.5,0.867,1.0,4.3,5.4,2.1,1.1,0.8,1.0,5.4,20.8,120.0,118.0
1066,2024,NBA,Dāvis Bertāns,bertada01,31,2TM,PF,43,1.0,674,6.7,17.1,0.393,5.5,14.6,0.38,1.2,2.5,0.471,0.556,2.2,2.4,0.909,0.7,3.8,4.5,2.6,1.9,0.9,1.3,4.1,21.2,114.0,120.0
1067,2019,NBA,Dairis Bertāns,bertada02,29,NOP,SG,12,0.0,167,3.3,13.1,0.255,2.8,9.5,0.294,0.6,3.6,0.154,0.362,0.0,0.0,,0.6,1.9,2.5,2.8,0.3,0.0,0.6,1.9,9.5,86.0,120.0
1068,1999,NBA,Travis Best,besttr01,26,IND,PG,49,0.0,1043,6.8,16.2,0.416,1.2,3.1,0.373,5.6,13.1,0.427,0.452,3.7,4.4,0.843,1.0,3.2,4.3,9.0,2.2,0.2,3.3,5.9,18.4,106.0,106.0
1069,2000,NBA,Travis Best,besttr01,27,IND,PG,82,0.0,1691,8.3,17.1,0.483,1.1,2.8,0.376,7.2,14.3,0.504,0.514,4.8,5.8,0.821,0.5,3.8,4.3,8.3,2.3,0.2,3.3,6.2,22.4,112.0,105.0
1070,2001,NBA,Travis Best,besttr01,28,IND,PG,77,21.0,2457,7.6,17.2,0.44,0.8,2.1,0.381,6.8,15.1,0.449,0.464,4.1,4.9,0.827,0.8,4.0,4.9,10.3,2.4,0.2,2.8,5.4,20.1,110.0,104.0
1071,2002,NBA,Travis Best,besttr01,29,2TM,PG,74,21.0,1747,6.9,15.6,0.44,0.6,1.8,0.356,6.2,13.8,0.451,0.46,3.1,3.5,0.897,0.6,3.9,4.5,9.8,2.7,0.2,3.0,5.2,17.5,106.0,106.0
1072,2003,NBA,Travis Best,besttr01,30,MIA,PG,72,52.0,1807,7.0,17.6,0.396,1.1,3.3,0.33,5.9,14.3,0.411,0.427,3.2,3.7,0.854,0.8,3.7,4.4,7.7,1.3,0.2,3.2,5.3,18.2,97.0,106.0
1073,2004,NBA,Travis Best,besttr01,31,DAL,PG,61,1.0,762,4.3,11.6,0.372,0.2,1.4,0.15,4.1,10.3,0.401,0.381,2.7,3.1,0.87,1.1,3.4,4.6,7.6,2.1,0.3,2.2,4.5,11.6,103.0,110.0
1074,2005,NBA,Travis Best,besttr01,32,NJN,PG,76,6.0,1461,7.0,16.7,0.42,1.0,3.1,0.306,6.0,13.5,0.447,0.449,4.0,4.5,0.885,0.7,3.2,3.9,5.3,2.4,0.3,2.5,5.5,19.0,102.0,105.0
1075,2013,NBA,Patrick Beverley,beverpa01,24,HOU,PG,41,0.0,713,5.5,13.2,0.418,2.5,6.7,0.375,3.0,6.5,0.462,0.513,2.4,2.9,0.829,3.2,4.5,7.6,8.2,2.6,1.5,3.1,5.8,16.0,116.0,105.0
1076,2014,NBA,Patrick Beverley,beverpa01,25,HOU,PG,56,55.0,1751,5.7,13.7,0.414,2.6,7.3,0.361,3.0,6.4,0.473,0.509,2.4,2.9,0.814,2.0,3.5,5.6,4.3,2.2,0.7,1.9,5.0,16.3,115.0,108.0
1077,2015,NBA,Patrick Beverley,beverpa01,26,HOU,PG,56,55.0,1727,5.9,15.3,0.383,3.3,9.3,0.356,2.6,6.0,0.426,0.492,1.3,1.7,0.75,1.9,4.9,6.8,5.5,1.7,0.7,2.4,5.2,16.4,107.0,106.0
1078,2016,NBA,Patrick Beverley,beverpa01,27,HOU,PG,71,63.0,2041,6.2,14.3,0.434,3.0,7.5,0.4,3.2,6.8,0.472,0.539,1.4,2.1,0.682,1.8,4.3,6.0,5.8,2.3,0.6,2.2,5.6,16.9,114.0,110.0
1079,2017,NBA,Patrick Beverley,beverpa01,28,HOU,SG,67,67.0,2058,5.3,12.7,0.42,2.6,6.7,0.382,2.8,5.9,0.463,0.521,1.7,2.2,0.768,2.2,6.9,9.2,6.6,2.3,0.6,2.3,5.2,14.9,116.0,108.0
1080,2018,NBA,Patrick Beverley,beverpa01,29,LAC,SG,11,11.0,334,7.0,17.3,0.403,3.5,8.7,0.4,3.5,8.6,0.407,0.504,2.0,2.5,0.824,2.3,4.2,6.6,4.7,2.8,0.7,3.6,4.9,19.5,102.0,110.0
1081,2019,NBA,Patrick Beverley,beverpa01,30,LAC,PG,78,49.0,2137,4.3,10.5,0.407,2.5,6.2,0.397,1.8,4.3,0.421,0.524,2.1,2.7,0.78,1.7,6.9,8.6,6.6,1.5,0.9,1.9,5.9,13.2,119.0,111.0
1082,2020,NBA,Patrick Beverley,beverpa01,31,LAC,PG,51,50.0,1342,5.2,12.0,0.431,2.8,7.3,0.388,2.4,4.8,0.496,0.548,1.1,1.7,0.66,2.0,7.4,9.4,6.4,1.9,0.9,2.3,5.5,14.3,116.0,107.0
1083,2021,NBA,Patrick Beverley,beverpa01,32,LAC,PG,37,34.0,832,5.5,13.1,0.423,3.3,8.4,0.397,2.2,4.7,0.468,0.55,2.1,2.7,0.8,1.7,5.4,7.1,4.5,1.7,1.7,2.0,6.4,16.5,118.0,110.0
1084,2022,NBA,Patrick Beverley,beverpa01,33,MIN,PG,58,54.0,1476,5.7,14.1,0.406,2.7,7.8,0.343,3.0,6.3,0.485,0.501,3.1,4.3,0.722,2.0,5.7,7.7,8.6,2.2,1.7,2.4,5.6,17.2,119.0,111.0
1085,2023,NBA,Patrick Beverley,beverpa01,34,2TM,PG,67,67.0,1816,3.8,9.5,0.4,2.1,6.3,0.335,1.7,3.2,0.529,0.511,1.2,1.7,0.723,1.2,5.3,6.5,5.1,1.7,1.1,1.6,4.9,10.9,113.0,113.0
1086,2024,NBA,Patrick Beverley,beverpa01,35,2TM,PG,73,13.0,1462,5.3,12.6,0.417,2.0,6.0,0.337,3.2,6.6,0.49,0.497,2.5,3.0,0.822,1.6,6.3,8.0,7.1,1.4,1.0,2.2,4.3,15.0,116.0,115.0
1087,2021,NBA,Saddiq Bey,beysa01,21,DET,SF,70,53.0,1909,7.2,17.8,0.404,4.5,11.8,0.38,2.7,5.9,0.45,0.53,3.2,3.8,0.844,1.1,7.1,8.2,2.4,1.3,0.4,1.5,2.8,22.0,112.0,114.0
1088,2022,NBA,Saddiq Bey,beysa01,22,DET,SF,82,82.0,2704,8.1,20.5,0.396,3.8,11.0,0.346,4.3,9.5,0.454,0.489,3.8,4.6,0.827,1.9,6.0,8.0,4.2,1.3,0.3,1.7,2.3,23.8,110.0,116.0
1089,2023,NBA,Saddiq Bey,beysa01,23,2TM,SF,77,37.0,2129,8.0,18.9,0.422,3.4,9.5,0.361,4.6,9.5,0.483,0.513,4.6,5.4,0.861,2.2,6.0,8.2,2.7,1.6,0.3,1.6,2.8,24.1,117.0,119.0
1090,2024,NBA,Saddiq Bey,beysa01,24,ATL,SF,63,51.0,2062,6.7,16.2,0.416,2.6,8.3,0.316,4.1,7.9,0.522,0.497,4.0,4.7,0.837,3.9,5.7,9.6,2.1,1.2,0.3,1.3,2.0,20.1,120.0,121.0
1091,2021,NBA,Tyler Bey,beyty01,22,DAL,SF,18,0.0,71,4.9,15.3,0.318,0.7,2.8,0.25,4.2,12.5,0.333,0.341,2.1,3.5,0.6,5.6,7.6,13.2,2.1,0.0,0.7,2.1,4.2,12.5,91.0,116.0
1092,2015,NBA,Sim Bhullar,bhullsi01,22,SAC,C,3,0.0,3,16.8,33.6,0.5,0.0,0.0,,16.8,33.6,0.5,0.5,0.0,0.0,,0.0,16.8,16.8,16.8,0.0,16.8,0.0,0.0,33.6,124.0,88.0
1093,1999,NBA,Mike Bibby,bibbymi01,20,VAN,PG,50,50.0,1758,8.0,18.6,0.43,0.5,2.3,0.203,7.5,16.3,0.461,0.442,3.9,5.2,0.751,0.9,3.3,4.2,10.0,2.4,0.2,4.5,3.7,20.3,99.0,110.0
1094,2000,NBA,Mike Bibby,bibbymi01,21,VAN,PG,82,82.0,3155,7.7,17.2,0.445,1.3,3.5,0.363,6.4,13.7,0.466,0.483,3.3,4.2,0.78,1.2,3.9,5.1,11.1,2.2,0.3,4.1,2.9,19.9,107.0,110.0
1095,2001,NBA,Mike Bibby,bibbymi01,22,VAN,PG,82,82.0,3190,8.6,19.0,0.454,1.8,4.7,0.379,6.8,14.3,0.478,0.5,2.3,3.1,0.761,0.8,4.2,5.0,11.2,1.8,0.2,4.1,2.4,21.4,104.0,108.0
1096,2002,NBA,Mike Bibby,bibbymi01,23,SAC,PG,80,80.0,2659,8.4,18.6,0.453,1.0,2.6,0.37,7.5,16.0,0.466,0.479,2.9,3.6,0.803,0.7,3.5,4.2,7.6,1.6,0.3,2.5,2.5,20.7,107.0,105.0
1097,2003,NBA,Mike Bibby,bibbymi01,24,SAC,PG,55,55.0,1835,9.0,19.2,0.47,1.5,3.8,0.409,7.5,15.4,0.485,0.51,4.4,5.1,0.861,0.9,3.1,4.0,7.8,2.0,0.2,3.5,2.6,24.0,109.0,103.0
