season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
2024,NBA,Precious Achiuwa,achiupr01,24.0,2TM,PF,74,18.0,1624,5.2,10.4,0.501,0.6,2.2,0.268,4.6,8.2,0.562,0.529,1.5,2.5,0.616,4.2,6.6,10.8,2.2,1.0,1.5,1.8,3.2,12.5
2025,NBA,Precious Achiuwa,achiupr01,25.0,NYK,C,57,10.0,1170,5.0,10.1,0.502,0.3,1.1,0.278,4.7,9.0,0.529,0.517,1.3,2.1,0.594,3.1,6.6,9.8,1.7,1.4,1.3,1.4,2.5,11.7
2006,NBA,Alex Acker,ackeral01,23.0,DET,SG,5,0.0,35,4.1,16.5,0.25,1.0,5.1,0.2,3.1,11.3,0.273,0.281,0.0,0.0,,1.0,4.1,5.1,4.1,1.0,0.0,4.1,4.1,9.3
2009,NBA,Alex Acker,ackeral01,26.0,2TM,SG,25,0.0,199,5.4,13.7,0.395,1.3,3.6,0.35,4.2,10.1,0.411,0.441,0.9,1.8,0.5,1.4,2.9,4.3,2.2,0.9,0.7,1.3,1.6,13.0
2013,NBA,Quincy Acy,acyqu01,22.0,TOR,PF,29,0.0,342,4.4,7.9,0.56,0.1,0.2,0.5,4.3,7.7,0.562,0.567,3.3,4.0,0.816,3.2,4.9,8.1,1.2,1.4,1.6,1.8,5.6,12.2
2014,NBA,Quincy Acy,acyqu01,23.0,2TM,SF,63,0.0,847,2.8,6.0,0.468,0.2,0.6,0.267,2.6,5.4,0.492,0.482,1.5,2.3,0.66,3.1,6.1,9.2,1.2,1.0,1.1,1.3,5.2,7.3
2015,NBA,Quincy Acy,acyqu01,24.0,NYK,PF,68,22.0,1287,4.3,9.3,0.459,0.5,1.7,0.3,3.7,7.6,0.494,0.486,2.1,2.7,0.784,2.2,6.2,8.4,1.9,0.8,0.6,1.7,4.1,11.1
2016,NBA,Quincy Acy,acyqu01,25.0,SAC,PF,59,29.0,876,4.9,8.8,0.556,0.8,2.0,0.388,4.1,6.8,0.606,0.6,2.1,2.8,0.735,2.7,5.1,7.7,1.1,1.2,1.0,1.1,4.2,12.6
2017,NBA,Quincy Acy,acyqu01,26.0,2TM,PF,38,1.0,558,4.5,11.0,0.412,2.4,5.8,0.411,2.1,5.2,0.413,0.521,2.9,3.9,0.75,1.3,6.1,7.4,1.2,0.9,1.0,1.4,4.3,14.3
2018,NBA,Quincy Acy,acyqu01,27.0,BRK,PF,70,8.0,1359,3.4,9.7,0.356,2.7,7.7,0.349,0.7,1.9,0.384,0.496,1.3,1.6,0.817,1.1,5.7,6.8,1.5,0.9,0.8,1.6,3.9,10.9
2019,NBA,Quincy Acy,acyqu01,28.0,PHO,PF,10,0.0,123,1.2,5.3,0.222,0.6,4.4,0.133,0.6,0.9,0.667,0.278,2.0,2.9,0.7,0.9,6.4,7.3,2.3,0.3,1.2,1.2,7.0,5.0
2007,NBA,Hassan Adams,adamsha01,22.0,NJN,SG,61,8.0,495,5.5,9.8,0.556,0.0,0.1,0.0,5.5,9.7,0.56,0.556,1.7,2.6,0.667,2.5,3.1,5.6,0.9,1.2,0.3,1.6,3.4,12.7
2009,NBA,Hassan Adams,adamsha01,24.0,TOR,SG,12,0.0,52,2.8,9.0,0.308,0.0,0.0,,2.8,9.0,0.308,0.308,2.1,4.2,0.5,0.7,4.2,4.8,0.7,0.7,0.7,2.8,2.8,7.6
2019,NBA,Jaylen Adams,adamsja01,22.0,ATL,PG,34,1.0,428,3.2,9.3,0.345,2.1,6.2,0.338,1.1,3.0,0.361,0.459,0.6,0.8,0.778,0.9,4.1,5.0,5.5,1.2,0.4,2.4,3.8,9.1
2021,NBA,Jaylen Adams,adamsja01,24.0,MIL,PG,7,0.0,18,2.0,16.0,0.125,0.0,4.0,0.0,2.0,12.0,0.167,0.125,0.0,0.0,,0.0,6.0,6.0,4.0,0.0,0.0,0.0,2.0,4.0
2015,NBA,Jordan Adams,adamsjo01,20.0,MEM,SG,30,0.0,248,5.1,12.5,0.407,1.5,3.6,0.4,3.6,8.9,0.41,0.465,2.0,3.3,0.609,1.3,2.8,4.1,2.3,2.3,1.0,2.0,3.5,13.6
2016,NBA,Jordan Adams,adamsjo01,21.0,MEM,SG,2,0.0,15,4.8,14.4,0.333,0.0,2.4,0.0,4.8,12.0,0.4,0.333,7.2,12.0,0.6,0.0,4.8,4.8,7.2,7.2,0.0,4.8,4.8,16.8
2014,NBA,Steven Adams,adamsst01,20.0,OKC,C,81,20.0,1197,2.8,5.6,0.503,0.0,0.0,,2.8,5.6,0.503,0.503,2.4,4.1,0.581,4.3,5.7,10.0,1.3,1.2,1.7,2.1,6.1,8.0
2015,NBA,Steven Adams,adamsst01,21.0,OKC,C,70,67.0,1771,4.4,8.1,0.544,0.0,0.0,0.0,4.4,8.1,0.547,0.544,2.1,4.2,0.502,4.0,6.6,10.6,1.3,0.8,1.7,2.0,4.5,10.9
2016,NBA,Steven Adams,adamsst01,22.0,OKC,C,80,80.0,2014,4.7,7.6,0.613,0.0,0.0,,4.7,7.6,0.613,0.613,2.0,3.5,0.582,3.9,5.6,9.5,1.1,0.8,1.6,1.5,4.0,11.4
2017,NBA,Steven Adams,adamsst01,23.0,OKC,C,80,80.0,2389,5.6,9.9,0.571,0.0,0.0,0.0,5.6,9.9,0.572,0.571,2.4,3.9,0.611,4.2,5.0,9.2,1.3,1.3,1.2,2.2,2.9,13.6
2018,NBA,Steven Adams,adamsst01,24.0,OKC,C,76,76.0,2487,6.5,10.3,0.629,0.0,0.0,0.0,6.5,10.3,0.631,0.629,2.3,4.1,0.559,5.6,4.4,9.9,1.3,1.3,1.1,1.9,3.1,15.3
2019,NBA,Steven Adams,adamsst01,25.0,OKC,C,80,80.0,2669,6.5,10.9,0.595,0.0,0.0,0.0,6.5,10.9,0.596,0.595,2.0,3.9,0.5,5.3,5.0,10.3,1.7,1.6,1.0,1.8,2.8,14.9
2020,NBA,Steven Adams,adamsst01,26.0,OKC,C,63,63.0,1680,6.1,10.2,0.592,0.0,0.1,0.333,6.0,10.2,0.594,0.593,2.5,4.3,0.582,4.4,8.1,12.5,3.1,1.1,1.4,2.0,2.6,14.7
2021,NBA,Steven Adams,adamsst01,27.0,NOP,C,58,58.0,1605,4.2,6.9,0.614,0.0,0.1,0.0,4.2,6.8,0.62,0.614,1.3,3.0,0.444,4.8,6.8,11.5,2.5,1.2,0.9,1.7,2.5,9.8
2022,NBA,Steven Adams,adamsst01,28.0,MEM,C,76,75.0,1999,3.8,6.9,0.547,0.0,0.0,0.0,3.8,6.9,0.548,0.547,1.9,3.6,0.543,6.3,7.4,13.7,4.6,1.2,1.1,2.1,2.8,9.5
2023,NBA,Steven Adams,adamsst01,29.0,MEM,C,42,42.0,1133,5.0,8.4,0.597,0.0,0.0,0.0,5.0,8.3,0.599,0.597,1.5,4.1,0.364,6.8,8.6,15.4,3.1,1.1,1.5,2.5,3.1,11.5
