era,cluster_label,count
1999-2007,Balanced,65
1999-2007,Defensive Grind,49
1999-2007,High-Pace Offense,42
1999-2007,Inefficient Offense,57
1999-2007,Rebuilder,51
2008-2015,Balanced,29
2008-2015,Contender,47
2008-2015,Fast & Flawed D,52
2008-2015,Iso Scorers,46
2008-2015,Modern Offense,66
2016-present,Defensive Powerhouse,63
2016-present,Fast & Flawed D,61
2016-present,Pace & Space,50
2016-present,Playoff Team,68
2016-present,Rebuilder,58
